"country","country_code","region","gdp","life_expectancy","fertility_rate"
"Afghanistan","AFG","South Asia",406.248135549284,60.3744634146341,4.843
"Albania","ALB","Europe & Central Asia",3897.13080006864,77.8304634146342,1.784
"Algeria","DZA","Middle East & North Africa",3390.93284302563,74.8080975609756,2.857
"Antigua and Barbuda","ATG","Latin America & Caribbean",11881.0967620788,75.9376341463415,2.075
"Argentina","ARG","Latin America & Caribbean",7663.72845258611,76.1586097560976,2.322
"Armenia","ARM","Europe & Central Asia",2362.46122337365,74.6757073170732,1.531
"Australia","AUS","East Asia & Pacific",37867.7674145159,82.2512195121951,1.859
"Austria","AUT","Europe & Central Asia",40945.359754573,81.3365853658537,1.44
"Azerbaijan","AZE","Europe & Central Asia",3276.65696989402,70.7632195121951,2
"Bahamas, The","BHS","Latin America & Caribbean",20663.5468655035,75.2336585365854,1.872
